place,magnitude,time,latitude,longitude,depth
"1 km E of San Ramon, California",2.04,2015-10-20 23:59:42.530,37.7806667,-121.9566667,6.4
"31 km SE of Caburan, Philippines",4.4,2015-10-20 23:58:24.830,5.7436,125.8646,84.66
"21 km NNE of Solok, Indonesia",4.3,2015-10-20 23:57:50.040,-0.6106,100.6977,95.89
"37 km SW of Ovalle, Chile",4.5,2015-10-20 23:55:48.340,-30.8176,-71.5045,37.09
"74 km ESE of Denali National Park, Alaska",1.3,2015-10-20 23:50:35.718,63.2118,-150.429,112.7
"64 km NNE of Port-Olry, Vanuatu",4.1,2015-10-20 23:45:39.680,-14.4758,167.2147,128.59
"10 km S of Pembroke, Canada",3.1,2015-10-20 23:36:56.760,45.7271,-77.1392,18.0
"9 km SSW of Pembroke, Canada",3.8,2015-10-20 23:34:51.940,45.7344,-77.1451,18.0
"34 km NE of Amboy, Washington",0.05,2015-10-20 23:31:05.150,46.1128333,-122.1046667,7.159
"6km NNW of Boron, CA",1.34,2015-10-20 23:28:57.170,35.0501667,-117.6783333,0.27
"49 km NE of Port-Olry, Vanuatu",4.2,2015-10-20 23:27:06.630,-14.7437,167.4193,131.12
"1 km ENE of San Ramon, California",1.39,2015-10-20 23:09:33.000,37.7828333,-121.9596667,7.39
"31 km ENE of Yilan, Taiwan",4.6,2015-10-20 23:08:17.400,24.861,122.046,4.3
"23 km SSW of Susitna, Alaska",1.4,2015-10-20 23:02:32.122,61.3527,-150.6813,60.5
"13 km ENE of Fox, Alaska",1.6,2015-10-20 22:58:12.179,64.9824,-147.3488,0.0
"46 km ENE of Port-Olry, Vanuatu",4.2,2015-10-20 22:42:54.590,-14.8315,167.4467,133.91
"36 km ENE of Port-Olry, Vanuatu",4.1,2015-10-20 22:40:22.270,-14.8577,167.3585,132.24
"13 km WSW of Aspen Springs, California",1.04,2015-10-20 22:39:36.790,37.5095,-118.8571667,7.32
"65 km NE of Port-Olry, Vanuatu",4.3,2015-10-20 22:39:34.810,-14.6071,167.4864,122.45
"2 km NE of San Ramon, California",0.89,2015-10-20 22:31:21.820,37.7965,-121.9605,7.41
"35 km ENE of Port-Olry, Vanuatu",4.7,2015-10-20 22:31:09.700,-14.9123,167.3766,121.44
"61 km ENE of Port-Olry, Vanuatu",4.6,2015-10-20 22:25:40.530,-14.7343,167.5475,126.2
"2 km NNE of San Ramon, California",0.78,2015-10-20 22:24:35.830,37.7976667,-121.9655,6.85
"34 km S of Kandrian, Papua New Guinea",4.4,2015-10-20 22:23:02.570,-6.5167,149.4864,35.0
"1 km E of San Ramon, California",1.64,2015-10-20 22:19:45.570,37.7826667,-121.96,7.82
"15 km S of Fern Forest, Hawaii",1.51,2015-10-20 22:12:34.140,19.327,-155.131,5.27
"64 km NE of Port-Olry, Vanuatu",4.4,2015-10-20 22:12:01.480,-14.7091,167.5644,138.41
"16 km NE of Yerington, Nevada",2.0,2015-10-20 22:00:14.249,39.0746,-119.0071,6.1
"9 km SSE of Volcano, Hawaii",1.6,2015-10-20 21:54:18.020,19.365,-155.2055,2.07
"12 km NNW of Avenal, California",1.61,2015-10-20 21:52:37.360,36.1045,-120.1806667,7.5
"31 km NE of Port-Olry, Vanuatu",7.1,2015-10-20 21:52:02.560,-14.8595,167.3028,135.0
"53 km WNW of Ovalle, Chile",3.9,2015-10-20 21:45:23.990,-30.4214,-71.7119,25.51
"36 km NW of Furnace Creek, California",0.6,2015-10-20 21:45:01.010,36.6529,-117.1676,9.4
"185 km SSW of Merizo Village, Guam",4.8,2015-10-20 21:42:55.050,11.8071,143.8342,31.66
"71 km ESE of Kitaibaraki, Japan",4.2,2015-10-20 21:42:07.670,36.6161,141.5216,34.95
"14km WNW of Anza, CA",1.13,2015-10-20 21:40:22.080,33.5983333,-116.8146667,8.67
"Rat Islands, Aleutian Islands, Alaska",2.5,2015-10-20 21:23:45.000,51.7025,178.6996,79.6
"5 km ESE of Floriston, California",0.9,2015-10-20 21:23:29.597,39.3812,-119.9604,0.0
"6 km W of Cobb, California",0.84,2015-10-20 21:23:20.510,38.8115,-122.8015,1.06
"0 km S of Princeton, Canada",2.04,2015-10-20 21:15:29.330,49.4501667,-120.5096667,-0.53
"27 km E of Honaunau-Napoopoo, Hawaii",1.16,2015-10-20 20:43:13.410,19.4215,-155.6091667,-1.134
"10km NNW of Big Bear City, CA",1.12,2015-10-20 20:42:23.980,34.3415,-116.882,-1.72
"1 km NE of San Ramon, California",1.77,2015-10-20 20:40:40.260,37.7901667,-121.9618333,6.71
Drake Passage,5.6,2015-10-20 20:33:12.060,-57.4332,-65.8872,9.08
"88 km WNW of Lata, Solomon Islands",4.6,2015-10-20 20:29:39.260,-10.4949,165.019,35.99
"7 km S of Cobb, California",1.46,2015-10-20 20:16:48.660,38.7551667,-122.7088333,0.77
"11 km W of Esperanza, Puerto Rico",1.8,2015-10-20 20:13:22.400,18.0911,-65.5818,16.0
"9 km SE of Mossyrock, Washington",0.74,2015-10-20 20:09:15.610,46.479,-122.3903333,18.43
"8 km SSE of Potter Valley, California",1.47,2015-10-20 20:08:54.900,39.2466667,-123.089,9.11
"1 km ENE of San Ramon, California",1.09,2015-10-20 20:01:16.710,37.7833333,-121.9605,7.13
"83 km WSW of Adak, Alaska",1.7,2015-10-20 19:57:54.157,51.5356,-177.7049,27.6
"12 km W of Aspen Springs, California",1.23,2015-10-20 19:49:36.780,37.572,-118.852,3.16
"53 km SSW of Kushiro, Japan",4.0,2015-10-20 19:47:30.930,42.5603,144.0481,57.65
"3 km NNE of Charlotte Amalie, U.S. Virgin Islands",2.8,2015-10-20 19:41:01.400,18.3761,-64.9207,88.0
"12 km WNW of Belfair, Washington",0.15,2015-10-20 19:40:55.810,47.4921667,-122.983,17.01
"6 km ESE of Monroe, Utah",1.4,2015-10-20 19:28:02.220,38.6065,-112.0563333,14.16
"21 km NNW of Susitna, Alaska",1.5,2015-10-20 19:26:58.388,61.7276,-150.6015,57.7
northern Alaska,1.1,2015-10-20 19:26:16.290,65.7898,-145.1673,8.0
"10 km NW of Orderville, Utah",0.92,2015-10-20 19:23:24.290,37.3486667,-112.7041667,15.85
"28 km NE of Soledad, California",0.76,2015-10-20 19:16:11.910,36.5841667,-121.0805,7.39
"10 km NW of Chignik Lake, Alaska",1.5,2015-10-20 19:15:50.566,56.3195,-158.8819,13.3
"43 km SW of Nikolski, Alaska",1.8,2015-10-20 19:13:46.149,52.7053,-169.3717,8.4
"9 km NE of Scipio, Utah",0.97,2015-10-20 19:07:57.540,39.3048333,-112.0268333,18.27
"67 km WSW of Iquique, Chile",3.9,2015-10-20 19:03:09.640,-20.5458,-70.6956,16.77
"12 km NW of Glendale, Utah",1.15,2015-10-20 19:02:18.590,37.3815,-112.7116667,5.87
"48 km SSW of Cantwell, Alaska",1.5,2015-10-20 19:02:01.103,63.0297,-149.4829,78.8
"1 km E of San Ramon, California",1.23,2015-10-20 18:52:02.330,37.7798333,-121.96,6.5
"6 km WSW of Bluff City, Kansas",1.67,2015-10-20 18:38:49.690,37.052,-97.9431667,6.12
"8 km SSE of Milan, Kansas",1.93,2015-10-20 18:36:05.280,37.1888333,-97.6381667,4.81
"72 km ESE of Denali National Park, Alaska",2.4,2015-10-20 18:35:22.385,63.1908,-150.4905,122.6
"35 km SSE of Istaravshan, Tajikistan",4.5,2015-10-20 18:32:33.100,39.6217,69.1746,20.9
"12km SE of Tehachapi, CA",1.38,2015-10-20 18:24:59.970,35.0531667,-118.3516667,0.26
"23 km NW of Dyer, Nevada",1.0,2015-10-20 18:24:53.152,37.8395,-118.2144,0.0
"8 km NE of East Foothills, California",0.68,2015-10-20 18:15:52.330,37.4326667,-121.7533333,2.89
"3 km SW of Clayton, California",1.21,2015-10-20 18:13:29.550,37.9171667,-121.9581667,-0.37
"6 km W of Townsend, Montana",1.41,2015-10-20 18:07:23.360,46.3261667,-111.5986667,-2.0
"1 km E of San Ramon, California",1.59,2015-10-20 18:04:00.950,37.7805,-121.9626667,7.68
"10 km W of Cobb, California",1.12,2015-10-20 18:02:29.080,38.8243332,-122.8391647,2.48
"45km NNW of Los Algodones, B.C., MX",1.39,2015-10-20 18:00:40.570,33.05,-114.9781667,-0.15
"18 km SE of Hawthorne, Nevada",0.2,2015-10-20 17:59:45.761,38.4227,-118.4551,3.4
"78 km W of Tyonek, Alaska",1.8,2015-10-20 17:55:07.885,61.112,-152.5932,134.7
Central California,0.74,2015-10-20 17:55:00.890,36.0865,-120.6618333,5.92
"55 km ENE of Khorugh, Tajikistan",4.4,2015-10-20 17:54:14.240,37.7369,72.0982,126.04
"4 km N of Ruston, Washington",1.47,2015-10-20 17:50:53.340,47.3405,-122.5,24.56
"1 km NNE of San Ramon, California",1.39,2015-10-20 17:38:22.420,37.7951667,-121.9686667,7.67
