y_test,y_pred
0.6,1.1480343
2.0,1.9587914
0.71,0.5306788
0.0,0.3937888
1.7,1.796949
0.29,0.5788651
0.69,0.6321412
0.77,0.9233831
1.6,1.3470173
0.02,0.6480137
1.63,1.1039565
2.7,2.5998328
0.64,0.6442852
1.2,1.4866478
4.5,4.4755034
0.9,0.95995593
1.0,1.3915147
0.92,1.0499898
1.4,1.3853483
1.7,1.315894
1.62,1.4778413
1.36,1.1579423
1.04,0.9713382
0.56,0.9180059
0.5,1.0744232
0.6,0.88760173
3.2,3.215272
4.3,4.3784866
0.28,0.95345825
4.4,4.369441
4.1,4.306224
1.94,1.9447619
0.83,0.9909122
3.7,2.570346
4.8,4.366189
0.7,1.4189926
4.8,4.5279036
0.9,1.2801113
0.3,0.64285064
1.6,1.5306386
0.78,0.8364883
1.5,1.6429541
2.4,1.6665257
5.0,4.448698
0.8,1.1029611
4.3,4.472844
1.1,1.420383
2.9,2.5213082
2.4,2.152035
4.5,4.540472
5.9,4.517198
1.2,1.2415557
3.1,4.4384756
1.54,1.0573139
0.98,0.92648077
4.5,4.4397564
1.8,2.6032102
4.4,4.955296
2.1,2.5446723
0.2,0.54414624
1.3,1.656071
1.3,1.4853895
2.33,1.7446873
3.7,2.8210475
4.2,4.662608
5.0,4.5285034
4.6,4.3938956
0.36,0.70925856
1.3,1.3224174
1.41,1.7301457
1.9,1.8360784
0.63,0.78422254
1.29,0.9667383
0.0,0.44417056
1.4,2.6899865
0.44,0.7295504
0.7,0.7639042
1.51,1.8884624
1.7,1.4791309
2.0,2.3210368
4.9,4.3422294
0.16,0.7310802
1.2,0.86211425
0.78,1.0904071
0.9,1.5208691
0.81,1.0639628
2.05,1.9169493
1.4,1.4263448
2.7,2.1526954
5.0,4.577356
1.59,1.3975265
4.6,4.504207
2.2,2.3751388
0.5,0.5245263
0.81,1.1089245
2.65,0.8590176
3.0,2.9431112
4.6,4.231555
3.3,3.4692373
1.4,1.4774898
1.6,1.1120443
2.2,1.1671665
0.7,0.7138544
1.3,1.1253836
1.13,0.89340305
1.6,1.3583893
1.81,1.2412118
1.87,1.6331747
0.9,1.1099006
1.2,1.3396076
0.5,0.8018718
1.1,1.3505101
4.5,4.567021
1.14,0.8590176
1.75,0.56815004
4.4,4.4298544
4.8,4.6355405
0.9,0.48496145
1.46,1.5662937
0.84,1.0905015
3.3,2.325488
1.2,0.8736083
4.7,4.666538
1.4,1.9245743
2.01,1.3733737
0.56,0.73853886
1.6,1.3687494
0.46,0.71841025
1.9,1.8184704
1.22,1.5339478
0.8,1.3524901
0.6,0.8349174
2.5,1.5997556
4.7,4.703401
4.2,4.2468944
1.76,0.8020316
2.7,1.618201
1.37,1.3872876
4.4,4.494363
2.1,1.5221369
0.83,1.0614938
1.6,1.7716683
1.79,1.34772
0.24,0.70249486
1.38,0.99724615
1.6,1.479993
0.2,0.77468747
1.8,1.4097376
2.0,1.5062885
1.04,1.3690323
1.1,1.1723815
1.1,1.0922129
1.26,0.77623236
4.3,4.520522
2.0,2.4493976
1.3,1.6209555
0.8,1.1154584
2.0,1.2523828
1.4,1.4792496
1.4,1.5313799
1.1,1.5826955
2.0,2.0973496
1.3,1.7359481
4.1,4.4257154
1.7,0.42753303
4.2,4.452808
1.6,0.7076748
1.88,1.3930992
4.6,4.263015
1.1,1.2488936
0.6,0.6531741
1.58,0.7428779
0.67,0.7055318
4.1,4.2589426
1.5,1.6253934
0.5,0.74236655
3.3,2.9175136
2.56,1.7895756
1.6,1.0010302
1.5,1.3323405
5.7,4.4561954
2.0,1.5169004
1.87,1.9474607
2.28,0.9919768
3.2,2.949575
0.34,0.8672543
0.61,0.64550847
1.07,0.8145713
4.4,4.3991594
3.0,1.8752098
1.48,0.97571826
1.3,1.5565969
0.44,0.49768692
2.7,1.2810757
1.52,0.9434959
2.5,2.8205452
1.47,1.6561105
1.93,1.8006424
0.7,1.1086085
1.4,1.9501547
2.6,2.546462
0.3,0.5410353
1.25,1.3363713
0.22,0.85396725
1.7,2.9027412
1.5,1.2203677
2.3,1.4627552
1.1,1.2108955
0.88,0.88806576
0.3,0.5752278
1.8,1.2600727
0.52,0.73039216
0.53,0.7361546
4.0,4.45569
0.3,0.78877527
0.57,0.7535169
0.64,0.7910346
1.5,2.5394518
1.19,1.4138732
4.7,4.336897
4.6,4.683802
0.9,0.8349174
0.8,1.3571703
5.2,4.4632974
1.57,1.3517978
1.3,1.202649
0.31,0.80258304
4.9,4.588244
2.6,2.2712095
0.69,1.2305928
1.2,1.4342563
1.3,1.1194205
4.0,4.290957
2.8,2.828554
1.7,1.8837143
1.92,1.3625504
4.5,4.3844657
2.3,2.2134073
3.0,1.8369313
4.3,4.3872185
2.3,2.0872862
2.1,2.083219
0.2,0.37301707
1.18,1.1888213
4.4,4.3206735
4.0,4.442385
1.39,1.1606313
0.97,0.6737417
0.5,0.5386629
0.0,0.6707205
1.4,1.4866478
1.09,0.9756131
1.54,1.4429264
0.86,1.0053381
0.7,1.0485474
0.5,0.84591174
4.2,4.3764715
2.6,2.7152615
0.64,1.2674114
1.84,0.9262738
0.54,0.6824994
4.7,4.5381193
0.5,0.4576191
1.37,1.4813032
4.6,4.3987064
0.65,0.8758249
1.9,3.008546
4.0,4.3953776
1.64,1.5813514
1.1,1.3938569
3.5,3.215272
0.34,0.63387454
0.96,0.7642961
0.81,1.1100317
1.5,1.1600258
0.45,0.8604503
4.1,4.4470973
2.68,1.0394573
0.2,0.838605
1.77,1.9256243
4.6,4.4389987
0.77,0.5880869
1.1,1.2507074
4.4,4.5314345
1.6,1.1586508
1.4,1.7244532
4.0,4.590322
0.37,0.6531741
0.5,0.9518044
1.4,1.3655499
2.96,1.0608298
4.1,4.4519243
0.72,0.7927029
4.4,4.586133
4.2,4.3655324
3.1,3.215272
0.2,0.44305345
1.2,1.2792065
2.9,2.7883966
4.6,4.342027
0.82,1.0143923
1.58,1.2602574
1.2,1.312245
0.53,0.9611796
2.2,1.6993972
4.4,4.541087
4.4,4.4065137
4.1,4.2507772
1.4,1.4293963
0.65,0.99886185
4.3,4.5214076
1.0,0.81120193
0.9,0.535887
4.4,4.5236907
1.4,1.3195289
2.1,2.2241855
1.2,1.4026871
1.0,0.75834423
1.68,0.8927047
1.13,0.98480254
1.5,1.3811637
2.26,1.2836316
0.8,0.8287574
2.6,2.9759784
0.07,0.9767755
4.7,4.5431933
3.0,2.8322172
0.5,0.9210705
1.1,1.5450368
1.1,1.3646445
4.2,4.4927683
4.3,4.3256373
1.8,1.2380306
2.06,1.9907486
0.96,1.2585092
1.7,1.0729098
0.56,0.8352493
0.0,0.43973526
2.4,2.5178578
1.3,1.5188473
0.4,0.6736318
4.2,4.590322
2.5,2.8193655
1.9,1.5073762
2.6,2.8458922
0.95,1.0402975
4.4,5.1416135
1.19,1.1014345
1.54,1.4297898
2.2,1.6603321
4.4,4.68448
3.2,2.391383
1.29,1.5077783
1.9,1.5520653
0.83,1.2363453
1.3,1.4885156
1.4,1.4193864
1.35,1.3831493
1.53,1.7246851
2.2,2.2998343
0.93,0.9244077
2.4,0.762688
1.04,0.5790948
4.3,4.3437862
2.12,1.2379389
1.8,0.88080776
4.7,4.5733104
0.84,0.92906845
2.0,2.3749185
1.4,1.4124424
0.09,0.88442737
2.5,1.9826492
0.9,0.9784032
4.5,4.3986106
1.13,0.94799227
1.39,1.6334023
0.58,0.7879759
0.7,1.0174962
2.5,2.3336353
0.9,1.213304
1.1,1.1771152
4.6,4.6680593
1.8,1.6477765
1.15,1.1386999
4.8,4.3966684
0.7,1.3387785
4.5,4.355564
1.2,1.1723815
3.1,2.7682312
4.5,4.6593194
1.0,0.7371465
0.77,1.0429662
1.24,1.3788195
2.1,2.1768308
1.21,0.80039936
4.4,4.60185
0.3,0.5265003
2.6,2.2687469
1.4,0.9247125
2.1,2.1996658
1.1,1.414398
1.1,1.0937773
0.32,0.8315059
4.2,4.3504963
0.1,1.7164624
1.05,0.9713382
0.79,0.54228944
1.3,1.524545
1.23,0.87832385
1.2,1.7621036
1.5,1.2780474
1.9,2.0993423
4.4,4.339731
0.82,1.5225301
0.7,1.3842602
3.3,1.4519234
1.4,1.0761914
1.5,2.3668296
0.57,0.7401827
0.19,0.98052365
1.3,1.4296246
1.2,1.2090186
4.1,4.664554
0.2,0.53370064
1.8,1.5342885
1.5,1.3983936
4.7,2.3908024
0.26,0.74960566
2.1,2.4000154
0.69,0.944863
5.0,4.5882316
1.9,2.5332358
1.24,0.9955153
1.2,1.3911289
1.5,2.0090578
1.0,0.8349174
4.3,4.2753544
4.0,4.88678
4.1,4.2589426
1.5,1.0084659
2.2,2.4249766
0.55,0.69249165
1.31,1.3856316
4.3,4.5059104
1.3,0.7333526
0.8,1.3703307
1.79,1.9468354
1.0,1.0240854
1.4,1.4749702
1.46,1.8525246
1.61,1.0277501
1.8,2.28539
2.1,2.697981
1.17,1.3108581
0.5,0.58809054
3.1,2.7072523
4.6,4.5646963
0.5,0.69741154
2.9,2.8401752
0.8,0.54225045
0.4,0.7149717
4.2,4.3688216
0.9,1.1489974
1.1,1.566605
2.9,2.8963578
0.83,0.68460864
2.8,2.5915322
4.6,4.4694395
1.05,1.090753
